title,series_type,episodes,status,premiered,source,duration,rating,score,votes
Death Note,TV,37,Finished Airing,Fall 2006,Manga,23,R - 17+ (violence & profanity),8.62,1572817
Shingeki no Kyojin,TV,25,Finished Airing,Spring 2013,Manga,24,R - 17+ (violence & profanity),8.45,1505350
Sword Art Online,TV,25,Finished Airing,Summer 2012,Light novel,23,PG-13 - Teens 13 or older,7.29,1393564
Fullmetal Alchemist: Brotherhood,TV,64,Finished Airing,Spring 2009,Manga,24,R - 17+ (violence & profanity),9.22,1220469
One Punch Man,TV,12,Finished Airing,Fall 2015,Web manga,24,R - 17+ (violence & profanity),8.6,1283682
Tokyo Ghoul,TV,12,Finished Airing,Summer 2014,Manga,24,R - 17+ (violence & profanity),7.82,1093800
Boku no Hero Academia,TV,13,Finished Airing,Spring 2016,Manga,24,PG-13 - Teens 13 or older,8.17,1107013
Steins;Gate,TV,24,Finished Airing,Spring 2011,Visual novel,24,PG-13 - Teens 13 or older,9.12,880955
Naruto,TV,220,Finished Airing,Fall 2002,Manga,23,PG-13 - Teens 13 or older,7.89,1051698
No Game No Life,TV,12,Finished Airing,Spring 2014,Light novel,23,PG-13 - Teens 13 or older,8.24,1015352
Kimi no Na wa.,Movie,1,Finished Airing,,Original,106,PG-13 - Teens 13 or older,9.0,1024604
Angel Beats!,TV,13,Finished Airing,Spring 2010,Original,24,PG-13 - Teens 13 or older,8.17,909262
Code Geass: Hangyaku no Lelouch,TV,25,Finished Airing,Fall 2006,Original,24,R - 17+ (violence & profanity),8.72,904213
Hunter x Hunter (2011),TV,148,Finished Airing,Fall 2011,Manga,23,PG-13 - Teens 13 or older,9.11,821087
Mirai Nikki,TV,26,Finished Airing,Fall 2011,Manga,23,R+ - Mild Nudity,7.59,852552
Boku no Hero Academia 2nd Season,TV,25,Finished Airing,Spring 2017,Manga,23,PG-13 - Teens 13 or older,8.4,927914
Toradora!,TV,25,Finished Airing,Fall 2008,Light novel,24,PG-13 - Teens 13 or older,8.27,848852
Noragami,TV,12,Finished Airing,Winter 2014,Manga,24,PG-13 - Teens 13 or older,8.03,817798
Naruto: Shippuuden,TV,500,Finished Airing,Winter 2007,Manga,23,PG-13 - Teens 13 or older,8.15,735754
Re:Zero kara Hajimeru Isekai Seikatsu,TV,25,Finished Airing,Spring 2016,Light novel,25,R - 17+ (violence & profanity),8.3,827461
Shingeki no Kyojin Season 2,TV,12,Finished Airing,Spring 2017,Manga,24,R - 17+ (violence & profanity),8.4,821125
Sword Art Online II,TV,24,Finished Airing,Summer 2014,Light novel,23,PG-13 - Teens 13 or older,6.85,851613
Ao no Exorcist,TV,25,Finished Airing,Spring 2011,Manga,24,PG-13 - Teens 13 or older,7.62,772363
