title,studio
Death Note,Madhouse
Shingeki no Kyojin,Wit Studio
Sword Art Online,A-1 Pictures
Fullmetal Alchemist: Brotherhood,Bones
One Punch Man,Madhouse
Tokyo Ghoul,Studio Pierrot
Boku no Hero Academia,Bones
Steins;Gate,White Fox
Naruto,Studio Pierrot
No Game No Life,Madhouse
Kimi no Na wa.,CoMix Wave Films
Angel Beats!,P.A. Works
Code Geass: Hangyaku no Lelouch,Sunrise
Hunter x Hunter (2011),Madhouse
Mirai Nikki,Asread
Boku no Hero Academia 2nd Season,Bones
Toradora!,J.C.Staff
Noragami,Bones
Naruto: Shippuuden,Studio Pierrot
Re:Zero kara Hajimeru Isekai Seikatsu,White Fox
Shingeki no Kyojin Season 2,Wit Studio
Sword Art Online II,A-1 Pictures
Ao no Exorcist,A-1 Pictures
Shigatsu wa Kimi no Uso,A-1 Pictures
Akame ga Kill!,White Fox
Nanatsu no Taizai,A-1 Pictures
Fairy Tail,Satelight
Fairy Tail,A-1 Pictures
Boku dake ga Inai Machi,A-1 Pictures
One Piece,Toei Animation
Bleach,Studio Pierrot
Koe no Katachi,Kyoto Animation
Kill la Kill,Trigger
Code Geass: Hangyaku no Lelouch R2,Sunrise
Boku no Hero Academia 3rd Season,Bones
Kono Subarashii Sekai ni Shukufuku wo!,Studio Deen
Tengen Toppa Gurren Lagann,Gainax
Soul Eater,Bones
Cowboy Bebop,Sunrise
Sen to Chihiro no Kamikakushi,Studio Ghibli
Psycho-Pass,Production I.G
Kiseijuu: Sei no Kakuritsu,Madhouse
Elfen Lied,Arms
Another,P.A. Works
Kimetsu no Yaiba,ufotable
Tokyo Ghoul √A,Studio Pierrot
Ansatsu Kyoushitsu,Lerche
Mob Psycho 100,Bones
Death Parade,Madhouse
Fullmetal Alchemist,Bones
Shokugeki no Souma,J.C.Staff
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,A-1 Pictures
Highschool of the Dead,Madhouse
Durarara!!,Brain&#039;s Base
Neon Genesis Evangelion,Gainax
Neon Genesis Evangelion,Tatsunoko Production
Clannad,Kyoto Animation
Fate/Zero,ufotable
Haikyuu!!,Production I.G
Bakemonogatari,Shaft
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,J.C.Staff
Hataraku Maou-sama!,White Fox
Shingeki no Kyojin Season 3,Wit Studio
Noragami Aragoto,Bones
Overlord,Madhouse
Charlotte,P.A. Works
Mahou Shoujo Madoka★Magica,Shaft
High School DxD,TNK
Guilty Crown,Production I.G
Violet Evergarden,Kyoto Animation
Deadman Wonderland,Manglobe
Kono Subarashii Sekai ni Shukufuku wo! 2,Studio Deen
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,Brain&#039;s Base
Chuunibyou demo Koi ga Shitai!,Kyoto Animation
Yakusoku no Neverland,CloverWorks
One Punch Man 2nd Season,J.C.Staff
Clannad: After Story,Kyoto Animation
Hyouka,Kyoto Animation
Sakura-sou no Pet na Kanojo,J.C.Staff
JoJo no Kimyou na Bouken (TV),David Production
Darling in the FranXX,A-1 Pictures
Darling in the FranXX,Trigger
